episode,reward,steps,success,reached_pickup,completed_delivery,collisions,penalty_zone_visits
1,-7830.0,340,0,0,0,75,0
2,-7442.0,340,0,0,0,71,0
3,-6572.0,340,0,0,0,62,20
4,-8742.0,340,0,1,0,84,9
5,-4485.0,340,0,0,0,41,0
6,-7168.0,340,0,0,0,68,16
7,-6837.0,340,0,0,0,65,0
8,-7435.0,340,0,0,0,71,0
9,-6449.0,340,0,0,0,61,0
10,-4858.0,340,0,0,0,45,0
11,-7660.0,340,0,0,0,73,17
12,-6052.0,340,0,0,0,57,0
13,-10279.0,340,0,0,0,98,98
14,-5961.0,340,0,0,0,56,0
15,-5065.0,340,0,0,0,47,0
16,-6230.0,340,0,0,0,59,0
17,-7469.0,340,0,0,0,71,9
18,-9813.0,340,0,0,0,95,3
19,-6240.0,340,0,0,0,59,0
20,-5653.0,340,0,0,0,53,0
21,-9486.0,340,0,0,0,91,43
22,-6639.0,340,0,0,0,63,0
23,-7359.0,340,0,0,0,70,11
24,-5944.0,340,0,0,0,56,0
25,-6647.0,340,0,0,0,63,0
26,-7349.0,340,0,0,0,70,1
27,-5076.0,340,0,0,0,47,5
28,-5549.0,340,0,0,0,52,0
29,-6065.0,340,0,0,0,57,9
30,-5647.0,340,0,0,0,53,0
31,-7431.0,340,0,0,0,71,0
32,-5355.0,340,0,0,0,50,0
33,-5753.0,340,0,0,0,54,0
34,-9017.0,340,0,0,0,87,0
35,-6354.0,340,0,0,0,60,0
36,-6571.0,340,0,0,0,62,13
37,-5557.0,340,0,0,0,52,0
38,-7131.0,340,0,0,0,68,0
39,-5454.0,340,0,0,0,51,0
40,-5373.0,340,0,0,0,50,1
41,-8033.0,340,0,0,0,77,0
42,-7514.0,340,0,0,0,71,42
43,-6548.0,340,0,0,0,62,0
44,-6444.0,340,0,0,0,61,0
45,-6357.0,340,0,0,0,60,0
46,-7406.0,340,0,0,0,70,43
47,-7233.0,340,0,0,0,69,0
48,-6145.0,340,0,0,0,58,0
49,-5163.0,340,0,0,0,48,0
50,-3767.0,340,0,0,0,34,0
