episode,reward,steps,success,reached_pickup,completed_delivery,collisions,penalty_zone_visits
1,-4033.0,220,0,0,0,38,6
2,-4625.0,220,0,0,0,44,3
3,-4333.0,220,0,0,0,41,2
4,-3131.0,220,0,0,0,29,0
5,-3966.0,220,0,0,0,37,4
6,-3234.0,220,0,1,0,30,15
7,-2962.0,220,0,0,0,27,2
8,-4520.0,220,0,0,0,43,0
9,-4469.0,220,0,0,0,42,19
10,-4060.0,220,0,0,0,37,37
11,-4620.0,220,0,0,0,44,0
12,-4323.0,220,0,0,0,41,0
13,-4369.0,220,0,0,0,41,5
14,-3451.0,220,0,0,0,32,0
15,-3312.0,220,0,0,0,30,7
16,-2947.0,220,0,1,0,27,23
17,-4112.0,220,0,1,0,39,9
18,-4127.0,220,0,0,0,39,0
19,-3332.0,220,0,0,0,31,0
20,-3567.0,220,0,0,0,33,4
21,-4293.0,220,0,1,0,41,0
22,-4767.0,220,0,0,0,45,0
23,-4825.0,220,0,0,0,46,0
24,-3224.0,220,0,0,0,30,0
25,-2672.0,220,0,0,0,24,4
26,-3923.0,220,0,0,0,37,4
27,-4251.0,220,0,0,0,40,5
28,-3433.0,220,0,0,0,32,0
29,-3291.0,220,0,0,0,30,29
30,-3824.0,220,0,0,0,36,0
31,-5241.0,220,0,0,0,50,16
32,-4518.0,220,0,0,0,43,0
33,-3237.0,220,0,0,0,30,2
34,-3779.0,220,0,0,0,35,6
35,-3632.0,220,0,0,0,34,0
36,-4597.0,220,0,1,0,44,8
37,-3522.0,220,0,0,0,33,1
38,-3290.0,220,0,0,0,30,18
39,-3760.0,220,0,0,0,35,3
40,-4785.0,220,0,1,0,46,0
41,-4729.0,220,0,0,0,45,0
42,-3335.0,220,0,0,0,31,0
43,-2870.0,220,0,0,0,26,3
44,-4500.0,220,0,0,0,42,20
45,-3537.0,220,0,0,0,33,1
46,-4344.0,220,0,0,0,41,10
47,-3599.0,220,0,0,0,33,8
48,-3523.0,220,0,0,0,33,0
49,-3441.0,220,0,0,0,32,2
50,-4038.0,220,0,0,0,38,10
51,-3341.0,220,0,0,0,31,0
52,-3234.0,220,0,0,0,30,1
53,-3934.0,220,0,0,0,37,10
54,-3499.0,220,0,0,0,32,9
55,-4190.0,220,0,1,0,40,0
56,-3881.0,220,0,0,0,36,21
57,-3934.0,220,0,0,0,37,0
58,-4594.0,220,0,0,0,43,14
59,-3700.0,220,0,1,0,35,1
60,-3633.0,220,0,0,0,34,0
61,-3408.0,220,0,0,0,31,9
62,-3735.0,220,0,0,0,35,2
63,-3566.0,220,0,0,0,33,9
64,-3144.0,220,0,0,0,29,1
65,-4144.0,220,0,0,0,39,0
66,-4654.0,220,0,0,0,44,24
67,-3265.0,220,0,0,0,30,1
68,-2937.0,220,0,0,0,27,0
69,-5695.0,220,0,0,0,54,12
70,-3793.0,220,0,0,0,35,4
71,-4039.0,220,0,0,0,38,0
72,-3355.0,220,0,0,0,31,1
73,-3921.0,220,0,0,0,37,0
74,-2530.0,220,0,0,0,23,0
75,-5181.0,220,0,0,0,49,8
76,-3988.0,220,0,0,0,37,31
77,-4129.0,220,0,0,0,39,0
78,-4141.0,220,0,0,0,39,5
79,-3752.0,220,0,0,0,35,0
80,-3719.0,220,0,0,0,35,0
81,-3151.0,220,0,0,0,29,4
82,-4593.0,220,0,1,0,44,1
83,-3324.0,220,0,0,0,31,0
84,-3333.0,220,0,0,0,31,0
85,-4038.0,220,0,0,0,38,0
86,-3332.0,220,0,1,0,31,15
87,-4682.0,220,0,1,0,45,1
88,-3464.0,220,0,0,0,32,9
89,-3724.0,220,0,0,0,35,3
90,-3149.0,220,0,0,0,29,7
91,-2956.0,220,0,0,0,27,1
92,-2444.0,220,0,0,0,22,0
93,-3263.0,220,0,0,0,30,3
94,-5915.0,220,0,0,0,57,9
95,-4646.0,220,0,0,0,44,4
96,-3033.0,220,0,0,0,28,2
97,-2743.0,220,0,0,0,25,2
98,-3836.0,220,0,0,0,36,1
99,-3745.0,220,0,0,0,35,2
100,-2666.0,220,0,0,0,24,1
101,-2838.0,220,0,0,0,26,1
102,-3374.0,220,0,0,0,31,10
103,-4047.0,220,0,0,0,38,10
104,-4148.0,220,0,0,0,39,19
105,-4324.0,220,0,0,0,41,0
106,-3048.0,220,0,0,0,28,4
107,-3852.0,220,0,0,0,36,1
108,-3785.0,220,0,0,0,35,6
109,-3856.0,220,0,0,0,36,1
110,-3224.0,220,0,0,0,30,0
111,-3567.0,220,0,0,0,33,5
112,-3506.0,220,0,1,0,33,5
113,-3724.0,220,0,0,0,35,0
114,-3282.0,220,0,0,0,30,10
115,-3544.0,220,0,0,0,33,0
116,-3323.0,220,0,0,0,31,0
117,-3530.0,220,0,0,0,33,1
118,-3635.0,220,0,0,0,34,1
119,-3164.0,220,0,0,0,29,21
120,-3437.0,220,0,0,0,32,0
121,-3329.0,220,0,0,0,31,2
122,-3689.0,220,0,0,0,34,14
123,-3628.0,220,0,0,0,34,2
124,-4699.0,220,0,1,0,45,4
125,-3825.0,220,0,0,0,36,1
126,-3530.0,220,0,0,0,33,7
127,-3872.0,220,0,0,0,36,31
128,-3635.0,220,0,0,0,34,4
129,-3622.0,220,0,0,0,34,0
130,-4180.0,220,0,0,0,39,31
131,-3351.0,220,0,0,0,31,11
132,-3381.0,220,0,0,0,31,5
133,-3423.0,220,0,0,0,32,0
134,-4153.0,220,0,0,0,39,3
135,-3288.0,220,0,0,0,30,17
136,-3826.0,220,0,0,0,36,0
137,-3658.0,220,0,0,0,34,11
138,-3053.0,220,0,0,0,28,4
139,-2546.0,220,0,0,0,23,0
140,-3352.0,220,0,0,0,31,0
141,-2500.0,220,0,0,0,22,2
142,-3052.0,220,0,0,0,28,2
143,-3996.0,220,0,1,0,38,2
144,-1860.0,220,0,0,0,16,0
145,-5011.0,220,0,0,0,48,0
146,-4240.0,220,0,0,0,40,8
147,-3527.0,220,0,1,0,33,2
148,-4135.0,220,0,0,0,39,4
149,-4714.0,220,0,0,0,45,0
150,-4328.0,220,0,0,0,41,0
151,-3534.0,220,0,0,0,33,0
152,-3236.0,220,0,0,0,30,1
153,-4766.0,220,0,0,0,44,17
154,-3465.0,220,0,0,0,32,3
155,-2878.0,220,0,0,0,26,4
156,-3799.0,220,0,0,0,35,11
157,-4426.0,220,0,0,0,42,1
158,-3545.0,220,0,0,0,33,0
159,-4380.0,220,0,0,0,41,17
160,-3436.0,220,0,0,0,32,0
