episode,reward,steps,success,reached_pickup,completed_delivery,collisions,penalty_zone_visits
1,-5717.0,320,0,0,0,54,0
2,-6216.0,320,0,0,0,59,0
3,-6132.0,320,0,0,0,58,0
4,-7024.0,320,0,0,0,67,2
5,-5536.0,320,0,0,0,52,0
6,-7614.0,320,0,0,0,73,0
7,-7205.0,320,0,0,0,69,0
8,-5532.0,320,0,0,0,52,0
9,-6022.0,320,0,0,0,57,0
10,-7805.0,320,0,0,0,75,0
11,-6751.0,320,0,0,0,64,13
12,-6224.0,320,0,0,0,59,0
13,-5757.0,320,0,0,0,54,0
14,-6424.0,320,0,0,0,61,0
15,-5728.0,320,0,0,0,54,0
16,-8011.0,320,0,0,0,77,3
17,-7119.0,320,0,0,0,68,3
18,-6654.0,320,0,0,0,63,10
19,-8498.0,320,0,0,0,82,2
20,-8411.0,320,0,0,0,81,0
21,-7010.0,320,0,0,0,67,0
22,-6627.0,320,0,0,0,63,2
23,-6735.0,320,0,0,0,64,4
24,-6711.0,320,0,0,0,64,0
25,-5741.0,320,0,0,0,54,7
26,-7110.0,320,0,0,0,68,0
27,-7315.0,320,0,0,0,70,0
28,-5848.0,320,0,0,0,55,4
29,-7238.0,320,0,0,0,69,14
30,-7418.0,320,0,0,0,71,1
31,-7120.0,320,0,0,0,68,4
32,-7901.0,320,0,0,0,76,2
33,-6746.0,320,0,0,0,64,11
34,-6940.0,320,0,0,0,66,3
35,-5729.0,320,0,0,0,54,0
36,-5736.0,320,0,0,0,54,0
37,-6926.0,320,0,0,0,66,0
38,-7629.0,320,0,0,0,73,7
39,-5513.0,320,0,0,0,52,0
40,-5941.0,320,0,0,0,56,0
41,-6231.0,320,0,0,0,59,1
42,-7799.0,320,0,0,0,75,0
43,-7720.0,320,0,0,0,74,3
44,-5926.0,320,0,0,0,56,0
45,-4445.0,320,0,0,0,41,0
46,-7223.0,320,0,0,0,69,5
47,-5541.0,320,0,0,0,52,5
48,-5537.0,320,0,0,0,52,4
49,-7219.0,320,0,0,0,69,0
50,-6908.0,320,0,0,0,66,0
51,-5626.0,320,0,0,0,53,0
52,-6123.0,320,0,0,0,58,0
53,-7525.0,320,0,0,0,72,11
54,-5858.0,320,0,0,0,55,20
55,-5833.0,320,0,0,0,55,2
56,-6610.0,320,0,1,0,63,7
57,-5843.0,320,0,0,0,55,2
58,-7717.0,320,0,0,0,74,5
59,-5539.0,320,0,0,0,52,6
60,-7017.0,320,0,0,0,67,2
61,-5834.0,320,0,0,0,55,5
62,-6542.0,320,0,0,0,62,19
63,-6247.0,320,0,0,0,59,8
64,-7298.0,320,0,0,0,70,0
65,-6715.0,320,0,0,0,64,0
66,-6337.0,320,0,0,0,60,2
67,-6131.0,320,0,0,0,58,0
68,-6034.0,320,0,0,0,57,0
69,-5864.0,320,0,0,0,55,18
70,-8110.0,320,0,0,0,78,0
71,-6125.0,320,0,0,0,58,1
72,-6047.0,320,0,0,0,57,8
73,-6743.0,320,0,0,0,64,12
74,-5930.0,320,0,0,0,56,3
75,-5637.0,320,0,0,0,53,0
76,-7015.0,320,0,0,0,67,0
77,-7632.0,320,0,0,0,73,5
78,-6712.0,320,0,0,0,64,1
79,-6515.0,320,0,0,0,62,0
80,-5951.0,320,0,0,0,56,11
81,-6551.0,320,0,0,0,62,0
82,-6221.0,320,0,0,0,59,0
83,-7019.0,320,0,0,0,67,0
84,-6829.0,320,0,0,0,65,3
85,-6512.0,320,0,0,0,62,0
86,-6817.0,320,0,0,0,65,3
87,-7036.0,320,0,0,0,67,11
88,-6132.0,320,0,0,0,58,0
89,-7207.0,320,0,0,0,69,0
90,-5628.0,320,0,0,0,53,5
91,-7020.0,320,0,0,0,67,4
92,-6125.0,320,0,0,0,58,0
93,-5829.0,320,0,0,0,55,0
94,-6426.0,320,0,0,0,61,0
95,-6807.0,320,0,0,0,65,1
96,-7333.0,320,0,0,0,70,9
97,-6512.0,320,0,0,0,62,0
98,-6333.0,320,0,0,0,60,2
99,-8497.0,320,0,0,0,82,0
100,-6222.0,320,0,0,0,59,0
101,-5624.0,320,0,0,0,53,0
102,-7053.0,320,0,0,0,67,21
103,-6423.0,320,0,0,0,61,0
104,-6836.0,320,0,0,0,65,7
105,-7236.0,320,0,0,0,69,16
106,-7715.0,320,0,0,0,74,8
107,-6553.0,320,0,0,0,62,4
108,-6028.0,320,0,0,0,57,3
109,-4939.0,320,0,0,0,46,1
110,-7387.0,320,0,0,0,70,13
111,-6735.0,320,0,0,0,64,8
112,-6420.0,320,0,0,0,61,0
113,-6524.0,320,0,0,0,62,6
114,-6319.0,320,0,0,0,60,0
115,-7219.0,320,0,0,0,69,4
116,-5754.0,320,0,0,0,54,7
117,-7019.0,320,0,0,0,67,0
118,-6228.0,320,0,0,0,59,1
119,-6530.0,320,0,0,0,62,5
120,-5927.0,320,0,0,0,56,0
121,-6852.0,320,0,0,0,65,16
122,-6808.0,320,0,0,0,65,3
123,-7822.0,320,0,0,0,75,5
124,-5825.0,320,0,0,0,55,0
125,-7285.0,320,0,1,0,70,6
126,-7415.0,320,0,0,0,71,6
127,-5737.0,320,0,0,0,54,0
128,-7711.0,320,0,0,0,74,0
129,-6621.0,320,0,0,0,63,0
130,-6339.0,320,0,0,0,60,0
131,-7514.0,320,0,0,0,72,0
132,-7909.0,320,0,0,0,76,9
133,-8397.0,320,0,0,0,81,0
134,-8791.0,320,0,0,0,85,4
135,-8443.0,320,0,0,0,81,16
136,-6327.0,320,0,0,0,60,0
137,-5449.0,320,0,0,0,51,6
138,-6129.0,320,0,0,0,58,0
139,-6028.0,320,0,0,0,57,3
140,-5725.0,320,0,0,0,54,0
141,-5529.0,320,0,0,0,52,0
142,-7019.0,320,0,0,0,67,3
143,-5752.0,320,0,0,0,54,3
144,-6020.0,320,0,0,0,57,0
145,-6926.0,320,0,0,0,66,2
146,-8011.0,320,0,0,0,77,5
147,-6233.0,320,0,0,0,59,4
148,-6030.0,320,0,0,0,57,0
149,-4440.0,320,0,0,0,41,0
150,-7219.0,320,0,0,0,69,1
151,-6626.0,320,0,0,0,63,5
152,-7816.0,320,0,0,0,75,0
153,-7811.0,320,0,0,0,75,0
154,-5545.0,320,0,0,0,52,3
155,-6518.0,320,0,0,0,62,0
156,-5837.0,320,0,0,0,55,3
157,-6915.0,320,0,0,0,66,0
158,-6161.0,320,0,0,0,58,7
159,-7716.0,320,0,0,0,74,7
160,-7226.0,320,0,0,0,69,0
161,-6234.0,320,0,0,0,59,8
162,-5233.0,320,0,0,0,49,0
163,-7219.0,320,0,0,0,69,2
164,-6917.0,320,0,0,0,66,0
165,-7011.0,320,0,0,0,67,0
166,-6619.0,320,0,0,0,63,7
167,-7606.0,320,0,0,0,73,6
168,-6329.0,320,0,0,0,60,0
169,-6730.0,320,0,0,0,64,0
170,-5457.0,320,0,0,0,51,11
171,-5625.0,320,0,0,0,53,0
172,-5138.0,320,0,0,0,48,1
173,-6719.0,320,0,0,0,64,0
174,-6058.0,320,0,0,0,57,17
175,-7419.0,320,0,0,0,71,1
176,-7608.0,320,0,0,0,73,0
177,-6220.0,320,0,0,0,59,0
178,-5542.0,320,0,0,0,52,0
179,-6225.0,320,0,0,0,59,0
180,-6725.0,320,0,0,0,64,0
181,-5837.0,320,0,0,0,55,6
182,-7323.0,320,0,0,0,70,0
183,-6529.0,320,0,0,0,62,2
184,-4846.0,320,0,0,0,45,0
185,-7612.0,320,0,0,0,73,4
186,-7450.0,320,0,0,0,71,17
187,-5725.0,320,0,0,0,54,0
188,-6457.0,320,0,0,0,61,12
189,-6820.0,320,0,0,0,65,0
190,-6720.0,320,0,0,0,64,0
191,-7317.0,320,0,0,0,70,0
192,-7424.0,320,0,0,0,71,7
193,-5340.0,320,0,0,0,50,3
194,-7318.0,320,0,0,0,70,0
195,-6726.0,320,0,0,0,64,5
196,-8212.0,320,0,0,0,79,4
197,-7120.0,320,0,0,0,68,0
198,-5528.0,320,0,0,0,52,0
199,-6320.0,320,0,0,0,60,0
200,-7114.0,320,0,0,0,68,0
201,-6519.0,320,0,0,0,62,1
202,-6223.0,320,0,0,0,59,0
203,-5726.0,320,0,0,0,54,0
204,-5437.0,320,0,0,0,51,0
205,-5983.0,320,0,0,0,56,5
206,-6416.0,320,0,0,0,61,0
207,-5241.0,320,0,0,0,49,0
208,-6519.0,320,0,0,0,62,0
209,-7115.0,320,0,0,0,68,0
210,-6022.0,320,0,0,0,57,2
211,-6314.0,320,0,0,0,60,0
212,-7613.0,320,0,0,0,73,0
213,-5530.0,320,0,0,0,52,2
214,-6029.0,320,0,0,0,57,0
215,-6615.0,320,0,0,0,63,0
216,-6122.0,320,0,0,0,58,0
217,-5836.0,320,0,0,0,55,0
218,-6730.0,320,0,0,0,64,0
219,-5852.0,320,0,0,0,55,2
220,-6222.0,320,0,0,0,59,0
221,-5527.0,320,0,0,0,52,0
222,-6424.0,320,0,0,0,61,1
223,-7520.0,320,0,0,0,72,8
224,-8114.0,320,0,0,0,78,5
225,-5944.0,320,0,0,0,56,0
226,-6212.0,320,0,0,0,59,0
227,-6653.0,320,0,0,0,62,22
228,-6324.0,320,0,0,0,60,6
229,-6021.0,320,0,0,0,57,2
230,-6839.0,320,0,0,0,65,14
231,-6721.0,320,0,0,0,64,2
232,-6217.0,320,0,0,0,59,2
233,-5522.0,320,0,1,0,52,2
234,-6624.0,320,0,0,0,63,0
235,-8222.0,320,0,0,0,79,11
236,-7328.0,320,0,0,0,70,4
237,-6220.0,320,0,0,0,59,3
238,-4737.0,320,0,0,0,44,0
239,-5541.0,320,0,0,0,52,5
240,-6534.0,320,0,0,0,62,3
241,-6029.0,320,0,0,0,57,6
242,-4644.0,320,0,0,0,43,5
243,-6626.0,320,0,0,0,63,0
244,-6021.0,320,0,0,0,57,0
245,-5035.0,320,0,0,0,47,3
246,-6637.0,320,0,0,0,63,13
247,-7113.0,320,0,0,0,68,0
248,-7706.0,320,0,0,0,74,0
249,-7418.0,320,0,0,0,71,2
250,-6347.0,320,0,0,0,60,1
251,-5940.0,320,0,0,0,56,8
252,-6423.0,320,0,0,0,61,0
253,-6508.0,320,0,0,0,62,0
254,-6344.0,320,0,0,0,60,6
255,-6921.0,320,0,0,0,66,1
256,-6319.0,320,0,0,0,60,1
257,-6330.0,320,0,0,0,60,1
258,-9011.0,320,0,0,0,87,0
259,-6045.0,320,0,0,0,57,12
260,-7131.0,320,0,0,0,68,15
261,-6717.0,320,0,0,0,64,0
262,-5243.0,320,0,0,0,49,7
263,-5246.0,320,0,0,0,49,9
264,-6927.0,320,0,0,0,66,4
265,-6947.0,320,0,0,0,66,16
266,-6236.0,320,0,0,0,59,8
267,-5240.0,320,0,0,0,49,0
268,-7696.0,320,0,0,0,74,0
269,-5937.0,320,0,0,0,56,7
270,-5932.0,320,0,0,0,56,0
271,-7517.0,320,0,0,0,72,0
272,-4547.0,320,0,0,0,42,0
273,-7018.0,320,0,0,0,67,0
274,-7305.0,320,0,0,0,70,1
275,-5442.0,320,0,0,0,51,2
276,-7120.0,320,0,0,0,68,0
277,-5255.0,320,0,0,0,49,0
278,-6938.0,320,0,0,0,66,8
279,-5831.0,320,0,0,0,55,2
280,-6027.0,320,0,0,0,57,9
281,-7603.0,320,0,0,0,73,1
282,-7994.0,320,0,0,0,77,6
283,-5234.0,320,0,0,0,49,0
284,-5924.0,320,0,0,0,56,0
285,-7020.0,320,0,0,0,67,8
286,-6320.0,320,0,0,0,60,0
287,-7111.0,320,0,0,0,68,0
288,-6514.0,320,0,0,0,62,0
289,-7611.0,320,0,0,0,73,0
290,-6320.0,320,0,0,0,60,0
