episode,reward,steps,success
1,-974,100,0
2,-1031,100,0
3,-1012,100,0
4,-1012,100,0
5,-898,100,0
6,-879,100,0
7,-1107,100,0
8,-841,100,0
9,-784,100,0
10,-879,100,0
11,-1069,100,0
12,-1126,100,0
13,-898,100,0
14,-1012,100,0
15,-1050,100,0
16,-1012,100,0
17,-1050,100,0
18,-784,100,0
19,-708,100,0
20,-936,100,0
21,-917,100,0
22,-1050,100,0
23,-879,100,0
24,-822,100,0
25,-480,49,1
26,-841,100,0
27,-298,57,1
28,-955,100,0
29,-384,67,1
30,-879,100,0
31,-56,24,1
32,-312,52,1
33,-620,94,1
34,-370,53,1
35,-708,100,0
36,-376,59,1
37,-292,51,1
38,-280,58,1
39,-602,95,1
40,-584,96,1
41,22,22,1
42,-917,100,0
43,-294,53,1
44,-860,100,0
45,-248,45,1
46,-574,86,1
47,-272,50,1
48,-338,59,1
49,-396,79,1
50,-218,34,1
51,-528,78,1
52,-156,29,1
53,-158,50,1
54,-354,56,1
55,-232,48,1
56,-330,51,1
57,-216,51,1
58,-30,36,1
59,-404,68,1
60,-224,40,1
61,-372,55,1
62,-112,42,1
63,-200,35,1
64,-38,25,1
65,-312,52,1
66,-42,29,1
67,-208,43,1
68,-128,39,1
69,-66,34,1
70,-132,43,1
71,-554,85,1
72,-26,32,1
73,-242,58,1
74,-122,33,1
75,0,25,1
76,-204,39,1
77,-160,33,1
78,-62,30,1
79,-16,22,1
80,-186,40,1
81,-38,25,1
82,-266,44,1
83,-46,33,1
84,-80,29,1
85,-74,23,1
86,-184,38,1
87,40,23,1
88,-192,46,1
89,46,17,1
90,-188,42,1
91,-212,47,1
92,-100,30,1
93,-198,52,1
94,4,21,1
95,-102,32,1
96,-202,37,1
97,-100,30,1
98,-10,35,1
99,-284,43,1
100,-120,31,1
101,22,22,1
102,-138,30,1
103,-82,31,1
104,46,17,1
105,-20,26,1
106,-182,36,1
107,-58,45,1
108,6,19,1
109,-54,22,1
110,-14,20,1
111,-16,22,1
112,-96,26,1
113,-84,33,1
114,-164,37,1
115,-18,24,1
116,-76,25,1
117,-194,48,1
118,-44,31,1
119,68,14,1
120,-112,42,1
121,-68,36,1
122,-4,29,1
123,-152,44,1
124,8,17,1
125,-16,22,1
126,-38,25,1
127,26,18,1
128,-40,27,1
129,2,23,1
130,-60,28,1
131,-14,20,1
132,-170,43,1
133,-64,32,1
134,-4,29,1
135,-38,25,1
136,58,24,1
137,6,19,1
138,42,21,1
139,4,21,1
140,6,19,1
141,-40,27,1
142,64,18,1
143,-50,37,1
144,-76,25,1
145,46,17,1
146,-106,36,1
147,-56,24,1
148,-16,22,1
149,-54,22,1
150,40,23,1
151,-106,36,1
152,-46,33,1
153,22,22,1
154,-46,33,1
155,-38,25,1
156,-120,31,1
157,-98,28,1
158,-120,31,1
159,24,20,1
160,24,20,1
161,0,25,1
162,46,17,1
163,42,21,1
164,-18,24,1
165,-36,23,1
166,-2,27,1
167,66,16,1
168,64,18,1
169,28,16,1
170,0,25,1
171,-36,23,1
172,4,21,1
173,2,23,1
174,-54,22,1
175,-18,24,1
176,-84,33,1
177,-52,20,1
178,26,18,1
179,68,14,1
180,-122,33,1
181,-2,27,1
182,44,19,1
183,-56,24,1
184,84,17,1
185,-14,20,1
186,2,23,1
187,-58,26,1
188,-76,25,1
189,44,19,1
190,0,25,1
191,26,18,1
192,4,21,1
193,-78,27,1
194,-36,23,1
195,-18,24,1
196,48,15,1
197,-18,24,1
198,2,23,1
199,-40,27,1
200,-16,22,1
201,-16,22,1
202,22,22,1
203,-14,20,1
204,6,19,1
205,24,20,1
206,-46,33,1
207,4,21,1
208,28,16,1
209,2,23,1
210,38,25,1
211,42,21,1
212,46,17,1
213,66,16,1
214,58,24,1
215,-140,32,1
216,26,18,1
217,68,14,1
218,42,21,1
219,2,23,1
220,-14,20,1
221,88,13,1
222,66,16,1
223,42,21,1
224,22,22,1
225,42,21,1
226,22,22,1
227,42,21,1
228,38,25,1
229,64,18,1
230,22,22,1
231,-18,24,1
232,46,17,1
233,18,26,1
234,86,15,1
235,66,16,1
236,0,25,1
237,48,15,1
238,48,15,1
239,-18,24,1
240,80,21,1
241,42,21,1
242,26,18,1
243,-18,24,1
244,42,21,1
245,26,18,1
246,40,23,1
247,42,21,1
248,42,21,1
249,46,17,1
250,46,17,1
251,66,16,1
252,4,21,1
253,66,16,1
254,4,21,1
255,-20,26,1
256,36,27,1
257,64,18,1
258,46,17,1
259,64,18,1
260,86,15,1
261,68,14,1
262,84,17,1
263,88,13,1
264,26,18,1
265,68,14,1
266,46,17,1
267,64,18,1
268,88,13,1
269,88,13,1
270,46,17,1
271,84,17,1
272,46,17,1
273,68,14,1
274,68,14,1
275,48,15,1
276,44,19,1
277,-16,22,1
278,84,17,1
279,64,18,1
280,62,20,1
281,86,15,1
282,44,19,1
283,66,16,1
284,28,16,1
285,48,15,1
286,64,18,1
287,46,17,1
288,66,16,1
289,44,19,1
290,2,23,1
291,4,21,1
292,68,14,1
293,88,13,1
294,46,17,1
295,68,14,1
296,48,15,1
297,46,17,1
298,86,15,1
299,66,16,1
300,26,18,1
301,68,14,1
302,4,21,1
303,48,15,1
304,48,15,1
305,48,15,1
306,88,13,1
307,24,20,1
308,-34,21,1
309,48,15,1
310,46,17,1
311,64,18,1
312,86,15,1
313,46,17,1
314,46,17,1
315,68,14,1
316,22,22,1
317,26,18,1
318,86,15,1
319,68,14,1
320,26,18,1
321,64,18,1
322,44,19,1
323,8,17,1
324,68,14,1
325,68,14,1
326,86,15,1
327,86,15,1
328,86,15,1
329,66,16,1
330,68,14,1
331,68,14,1
332,66,16,1
333,48,15,1
334,62,20,1
335,44,19,1
336,68,14,1
337,46,17,1
338,86,15,1
339,68,14,1
340,46,17,1
341,66,16,1
342,66,16,1
343,62,20,1
344,86,15,1
345,46,17,1
346,86,15,1
347,46,17,1
348,44,19,1
349,82,19,1
350,48,15,1
351,8,17,1
352,48,15,1
353,66,16,1
354,46,17,1
355,68,14,1
356,-12,18,1
357,66,16,1
358,88,13,1
359,8,17,1
360,88,13,1
361,66,16,1
362,28,16,1
363,88,13,1
364,48,15,1
365,68,14,1
366,68,14,1
367,88,13,1
368,48,15,1
369,6,19,1
370,48,15,1
371,62,20,1
372,44,19,1
373,68,14,1
374,48,15,1
375,26,18,1
376,48,15,1
377,88,13,1
378,68,14,1
379,88,13,1
380,40,23,1
381,28,16,1
382,48,15,1
383,88,13,1
384,68,14,1
385,88,13,1
386,66,16,1
387,88,13,1
388,88,13,1
389,44,19,1
390,88,13,1
391,68,14,1
392,68,14,1
393,88,13,1
394,68,14,1
395,44,19,1
396,66,16,1
397,88,13,1
398,66,16,1
399,88,13,1
400,68,14,1
401,88,13,1
